"CS","donor","PCoA_data_1","PCoA_data_2","BaseMedia"
"Ribose",3,0.119743562642272,0.0121910769832233,"BHI_10"
"Ribose",4,-0.113030029864745,-0.0809077369836804,"BHI_10"
"Ribose",5,-0.192534910180935,0.0754564428265137,"BHI_10"
"Ribose",6,0.158308611633402,0.170927298951794,"BHI_10"
"Ribose",7,0.190398577343588,-0.128231744006904,"BHI_10"
"Ribose",8,0.00739366315486798,0.000738743091370305,"BHI_10"
"Sorbitol",1,-0.0702280028194684,0.140043905037229,"BHI_10"
"Sorbitol",2,-0.081334944111403,-0.139100263497487,"BHI_10"
"Sorbitol",3,0.173055227354116,-0.0980172238514487,"BHI_10"
"Sorbitol",4,-0.125481817727072,-0.141104661548492,"BHI_10"
"Sorbitol",5,-0.266333740680553,0.072377538675796,"BHI_10"
"Sorbitol",6,0.174447858999277,0.0895682905186152,"BHI_10"
"Sorbitol",7,0.22414300235625,-0.0916795058604327,"BHI_10"
"Sorbitol",8,-0.0274273651464411,0.0162717955560422,"BHI_10"
"Succinate",1,0.0399229266944747,0.158625180233739,"BHI_10"
"Succinate",2,-0.0329693051758446,-0.183407349444246,"BHI_10"
"Succinate",3,0.136769200244821,-0.0425980934920107,"BHI_10"
"Succinate",4,-0.137431407440572,-0.0423023249139711,"BHI_10"
"Succinate",5,-0.197799142709648,0.0794159113057687,"BHI_10"
"Succinate",6,0.206736015556035,0.116757936908941,"BHI_10"
"Succinate",7,0.16740235576045,-0.0728091849176597,"BHI_10"
"Succinate",8,0.0232048305006945,0.016011074328759,"BHI_10"
"Sucrose",1,-0.0160397395963984,0.197239974570949,"BHI_10"
"Sucrose",2,-0.148843691770868,-0.0980554595816905,"BHI_10"
"Sucrose",3,0.0593638958953802,-0.151779496584754,"BHI_10"
"Sucrose",4,-0.178813990082746,-0.000857559911004318,"BHI_10"
"Sucrose",5,-0.216477192708651,0.121407564455771,"BHI_10"
"Sucrose",6,0.115586621118551,0.0575816230274961,"BHI_10"
"Sucrose",7,0.131376090712262,-0.0289193868075878,"BHI_10"
"Sucrose",8,-0.0788111513040977,0.0862209119850705,"BHI_10"
"ddH2O",1,0.042632270861686,0.143381115090362,"BHI_10"
"ddH2O",2,-0.0321555490634945,-0.174279834658733,"BHI_10"
"ddH2O",3,0.163720263693553,-0.0766255145550083,"BHI_10"
"ddH2O",4,-0.0857764795246543,-0.159219338978262,"BHI_10"
"ddH2O",5,-0.18766467171632,0.0776049983079969,"BHI_10"
"ddH2O",6,0.208192734497921,0.0103581841185321,"BHI_10"
"ddH2O",7,0.179886695730839,-0.0160184747352005,"BHI_10"
"ddH2O",8,0.0617802680266492,-0.053060204813948,"BHI_10"
