"Family","Donor","CS","OD","OD_median","relab","relab_median","BaseMedia"
"Acidaminococcaceae",2,"Succinate",0.227,0.2215,NA,0.0580640125,"BHI_10"
"Acidaminococcaceae",3,"Succinate",0.1885,0.2215,0.041763917,0.0580640125,"BHI_10"
"Acidaminococcaceae",4,"Succinate",0.2235,0.2215,NA,0.0580640125,"BHI_10"
"Acidaminococcaceae",5,"Succinate",0.21,0.2215,NA,0.0580640125,"BHI_10"
"Acidaminococcaceae",6,"Succinate",0.189,0.2215,0.0502773885,0.0580640125,"BHI_10"
"Acidaminococcaceae",7,"Succinate",0.2215,0.2215,0.0902211735,0.0580640125,"BHI_10"
"Acidaminococcaceae",8,"Succinate",0.231,0.2215,0.0658506365,0.0580640125,"BHI_10"
"Acidaminococcaceae",2,"Sucrose",0.496,0.5285,NA,0.0006401415,"BHI_10"
"Acidaminococcaceae",3,"Sucrose",0.5115,0.5285,NA,0.0006401415,"BHI_10"
"Acidaminococcaceae",4,"Sucrose",0.5975,0.5285,NA,0.0006401415,"BHI_10"
"Acidaminococcaceae",5,"Sucrose",0.5285,0.5285,NA,0.0006401415,"BHI_10"
"Acidaminococcaceae",6,"Sucrose",0.455,0.5285,0.00422222,0.0006401415,"BHI_10"
"Acidaminococcaceae",7,"Sucrose",0.6125,0.5285,0.0006401415,0.0006401415,"BHI_10"
"Acidaminococcaceae",8,"Sucrose",0.661,0.5285,0.00022723,0.0006401415,"BHI_10"
"Acidaminococcaceae",2,"ddH2O",0.207,0.207,NA,0.008152249,"BHI_10"
"Acidaminococcaceae",3,"ddH2O",0.1965,0.207,0.0033711565,0.008152249,"BHI_10"
"Acidaminococcaceae",4,"ddH2O",0.2175,0.207,NA,0.008152249,"BHI_10"
"Acidaminococcaceae",5,"ddH2O",0.205,0.207,NA,0.008152249,"BHI_10"
"Acidaminococcaceae",6,"ddH2O",0.2155,0.207,0.0068676365,0.008152249,"BHI_10"
"Acidaminococcaceae",7,"ddH2O",0.188,0.207,0.020668307,0.008152249,"BHI_10"
"Acidaminococcaceae",8,"ddH2O",0.2135,0.207,0.0094368615,0.008152249,"BHI_10"
"Alcaligenaceae",2,"Acetate",0.225,0.1965,0.0573617015,0.0573617015,"BHI_10"
"Alcaligenaceae",3,"Acetate",0.159,0.1965,0.059858652,0.0573617015,"BHI_10"
"Alcaligenaceae",4,"Acetate",0.1965,0.1965,0.0664988575,0.0573617015,"BHI_10"
"Alcaligenaceae",5,"Acetate",0.178,0.1965,0.045959501,0.0573617015,"BHI_10"
"Alcaligenaceae",6,"Acetate",0.1725,0.1965,0.006003738,0.0573617015,"BHI_10"
"Alcaligenaceae",7,"Acetate",0.2025,0.1965,0.043512476,0.0573617015,"BHI_10"
"Alcaligenaceae",8,"Acetate",0.2035,0.1965,0.065555356,0.0573617015,"BHI_10"
"Alcaligenaceae",2,"Arabinose",0.459,0.474,0.014614939,0.01018915,"BHI_10"
"Alcaligenaceae",3,"Arabinose",0.4385,0.474,0.003465247,0.01018915,"BHI_10"
"Alcaligenaceae",4,"Arabinose",0.474,0.474,0.01018915,0.01018915,"BHI_10"
"Alcaligenaceae",5,"Arabinose",0.493,0.474,0.018692631,0.01018915,"BHI_10"
"Alcaligenaceae",6,"Arabinose",0.5285,0.474,0.00039243,0.01018915,"BHI_10"
"Alcaligenaceae",7,"Arabinose",0.4635,0.474,0.003971802,0.01018915,"BHI_10"
"Alcaligenaceae",8,"Arabinose",0.5355,0.474,0.022100542,0.01018915,"BHI_10"
"Alcaligenaceae",2,"Citrate",0.2775,0.275,0.104156681,0.0504937885,"BHI_10"
"Alcaligenaceae",3,"Citrate",0.2455,0.275,0.02408453,0.0504937885,"BHI_10"
"Alcaligenaceae",4,"Citrate",0.2705,0.275,0.05173916,0.0504937885,"BHI_10"
"Alcaligenaceae",5,"Citrate",0.29,0.275,0.0406653775,0.0504937885,"BHI_10"
"Alcaligenaceae",6,"Citrate",0.265,0.275,0.0036861245,0.0504937885,"BHI_10"
"Alcaligenaceae",7,"Citrate",0.275,0.275,0.0504937885,0.0504937885,"BHI_10"
"Alcaligenaceae",8,"Citrate",0.331,0.275,0.058889392,0.0504937885,"BHI_10"
"Alcaligenaceae",2,"Fructose",0.419,0.472,0.0214891815,0.011742304,"BHI_10"
"Alcaligenaceae",3,"Fructose",0.457,0.472,0.007741315,0.011742304,"BHI_10"
"Alcaligenaceae",4,"Fructose",0.5045,0.472,0.012202938,0.011742304,"BHI_10"
"Alcaligenaceae",5,"Fructose",0.472,0.472,0.0145929615,0.011742304,"BHI_10"
"Alcaligenaceae",6,"Fructose",0.474,0.472,6.6e-05,0.011742304,"BHI_10"
