"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","value.norm","value.norm.mean"
12,6157,"Glycerophosphocholine",522971,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00102836495379918,0.00139900025696142
14,6157,"Glycerophosphocholine",705404,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00125505591935414,0.00129798168724314
14,6157,"Glycerophosphocholine",583126,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00113089020108754,0.00129798168724314
14,6157,"Glycerophosphocholine",766887,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00150799894128775,0.00129798168724314
16,6157,"Glycerophosphocholine",513172,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000913036439043165,0.0012158859392024
16,6157,"Glycerophosphocholine",964211,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00186995052815483,0.0012158859392024
16,6157,"Glycerophosphocholine",439725,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000864670850409194,0.0012158859392024
18,6157,"Glycerophosphocholine",562912,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00100153392619758,0.00124200178189615
18,6157,"Glycerophosphocholine",493758,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000957573635729806,0.00124200178189615
18,6157,"Glycerophosphocholine",898549,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00176689778376106,0.00124200178189615
20,6157,"Glycerophosphocholine",1330790,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00236774368577057,0.00173703734031724
