Time_h,log_OD,GrowthRate_h-1
14.0244444444444,-1.45147726959548,0.0155594737764635
14.1186111111111,-1.45147726959548,0.0164680275499056
14.2127777777778,-1.44933558516845,0.0153163372697661
14.3069444444444,-1.44721647184098,0.0155076269961965
14.4011111111111,-1.44508392342077,0.0146611447965937
14.4952777777778,-1.44508392342077,0.0145339211144536
14.5894444444444,-1.4429737554356,0.0152175513599694
14.6838888888889,-1.4429737554356,0.0143699108650428
14.7780555555556,-1.44085026539575,0.0137430271979546
14.8722222222222,-1.43874896753262,0.0144271191286283
14.9663888888889,-1.43874896753262,0.0148212527807849
15.0605555555556,-1.43560352993604,0.0134003706723501
15.1547222222222,-1.43560352993604,0.0129760474766334
15.2488888888889,-1.43454195721567,0.0113335312125487
15.3430555555556,-1.43140965949373,0.0117185667985411
15.4372222222222,-1.43140965949373,0.0103863348577507
15.5313888888889,-1.43243635498189,0.00966722546244035
15.6255555555556,-1.43037446132722,0.010054424783946
15.7197222222222,-1.43037446132722,0.0109438900339282
15.8138888888889,-1.42620237897063,0.00963857815944607
15.9080555555556,-1.42935196501434,0.0107389259031334
16.0022222222222,-1.42620237897063,0.0104266047973866
16.0963888888889,-1.42517568348247,0.00873593945414109
16.1908333333333,-1.42204763497409,0.00783138157599665
16.2855555555556,-1.42514974583655,0.00612485680942611
16.3797222222222,-1.42204763497409,0.00702724838010787
16.4738888888889,-1.42310471900147,0.00399942547633434
16.5680555555556,-1.42307433046226,0.00270032207075547
16.6622222222222,-1.42204763497409,0.00259284246323475
16.7563888888889,-1.42204763497409,0.0037967679576708
16.8505555555556,-1.4199769190962,0.00349196427522159
16.9447222222222,-1.42310471900147,0.00438673950769994
17.0388888888889,-1.42204763497409,0.00437138567668014
17.1330555555556,-1.4199769190962,0.00498573846734899
17.2272222222222,-1.4199769190962,0.00558315106883983
17.3213888888889,-1.4189627189223,0.00468315067553409
17.4155555555556,-1.4189627189223,0.00468477981228907
17.5097222222222,-1.4189627189223,0.00277673883427156
17.6038888888889,-1.41686624293559,0.0020931114381009
17.6980555555556,-1.41689175444131,0.00160060914813243
17.7922222222222,-1.4189627189223,0.00239666273585114
17.8863888888889,-1.4189627189223,0.00328405255703571
