Medium,CS,Donor,Richness
M9-BHI,Rhamnose,8,56.865
M9-BHI,Ribose,1,53.77
M9-BHI,Ribose,2,50.48
M9-BHI,Ribose,3,52.335
M9-BHI,Ribose,4,34.08
M9-BHI,Ribose,5,40.66
M9-BHI,Ribose,6,47.16
M9-BHI,Ribose,7,42.35
M9-BHI,Ribose,8,61.91
M9-BHI,Sorbitol,1,50.75
M9-BHI,Sorbitol,2,52.1
M9-BHI,Sorbitol,3,61.19
M9-BHI,Sorbitol,4,39.43
M9-BHI,Sorbitol,5,43.725
M9-BHI,Sorbitol,6,49.765
M9-BHI,Sorbitol,7,44.075
M9-BHI,Sorbitol,8,46.875
M9-BHI,Succinate,1,51.6
M9-BHI,Succinate,2,58.855
M9-BHI,Succinate,3,61.915
M9-BHI,Succinate,4,49.215
M9-BHI,Succinate,5,49.835
M9-BHI,Succinate,6,64.325
M9-BHI,Succinate,7,63.11
M9-BHI,Succinate,8,61.02
M9-BHI,Sucrose,1,51.255
M9-BHI,Sucrose,2,34.17
M9-BHI,Sucrose,3,52.225
M9-BHI,Sucrose,4,37.545
M9-BHI,Sucrose,5,37.505
M9-BHI,Sucrose,6,41.5
M9-BHI,Sucrose,7,39.505
M9-BHI,Sucrose,8,35.975
M9-BHI,ddH2O,1,50.545
M9-BHI,ddH2O,2,57.12
M9-BHI,ddH2O,3,56.29
M9-BHI,ddH2O,4,50.63
M9-BHI,ddH2O,5,52.785
M9-BHI,ddH2O,6,56
M9-BHI,ddH2O,7,55.225
M9-BHI,ddH2O,8,58.99
