time,OD,CarbonSource
30.1288888888889,0.364,Rhamnose
30.2230555555556,0.363,Rhamnose
30.3172222222222,0.3625,Rhamnose
30.4113888888889,0.3625,Rhamnose
30.5055555555556,0.3625,Rhamnose
30.5997222222222,0.362,Rhamnose
30.6938888888889,0.362,Rhamnose
30.7880555555556,0.362,Rhamnose
30.8822222222222,0.361,Rhamnose
30.9763888888889,0.361,Rhamnose
31.0705555555556,0.361,Rhamnose
31.165,0.36,Rhamnose
31.2591666666667,0.361,Rhamnose
31.3533333333333,0.36,Rhamnose
31.4475,0.36,Rhamnose
31.5419444444444,0.36,Rhamnose
31.6361111111111,0.36,Rhamnose
31.7302777777778,0.359,Rhamnose
31.8244444444444,0.359,Rhamnose
31.9186111111111,0.359,Rhamnose
32.0127777777778,0.359,Rhamnose
32.1069444444444,0.3585,Rhamnose
32.2011111111111,0.3585,Rhamnose
32.2952777777778,0.358,Rhamnose
32.3894444444445,0.358,Rhamnose
32.4836111111111,0.358,Rhamnose
32.5777777777778,0.358,Rhamnose
32.6719444444444,0.3575,Rhamnose
32.7661111111111,0.357,Rhamnose
32.8602777777778,0.357,Rhamnose
32.9544444444444,0.357,Rhamnose
33.0486111111111,0.3565,Rhamnose
33.1427777777778,0.356,Rhamnose
33.2369444444444,0.356,Rhamnose
33.3311111111111,0.356,Rhamnose
33.4252777777778,0.356,Rhamnose
33.5194444444444,0.356,Rhamnose
33.6136111111111,0.356,Rhamnose
33.7077777777778,0.355,Rhamnose
33.8019444444444,0.355,Rhamnose
33.8961111111111,0.355,Rhamnose
33.9902777777778,0.355,Rhamnose
34.0844444444444,0.355,Rhamnose
34.1786111111111,0.354,Rhamnose
34.2727777777778,0.3545,Rhamnose
34.3669444444444,0.354,Rhamnose
34.4611111111111,0.354,Rhamnose
34.5552777777778,0.3535,Rhamnose
34.6494444444444,0.3535,Rhamnose
34.7436111111111,0.353,Rhamnose
34.8377777777778,0.353,Rhamnose
34.9319444444444,0.353,Rhamnose
35.0261111111111,0.3525,Rhamnose
35.1202777777778,0.353,Rhamnose
35.2144444444444,0.3525,Rhamnose
35.3088888888889,0.352,Rhamnose
35.4030555555556,0.352,Rhamnose
35.4969444444444,0.3515,Rhamnose
35.5913888888889,0.351,Rhamnose
35.6855555555556,0.352,Rhamnose
35.7797222222222,0.3515,Rhamnose
35.8738888888889,0.351,Rhamnose
35.9680555555556,0.351,Rhamnose
36.0622222222222,0.351,Rhamnose
36.1563888888889,0.3505,Rhamnose
36.2505555555556,0.35,Rhamnose
36.3447222222222,0.3505,Rhamnose
36.4388888888889,0.3505,Rhamnose
36.5330555555556,0.35,Rhamnose
36.6272222222222,0.35,Rhamnose
36.7213888888889,0.35,Rhamnose
36.8155555555556,0.3495,Rhamnose
36.9097222222222,0.3495,Rhamnose
37.0038888888889,0.349,Rhamnose
37.0980555555556,0.3495,Rhamnose
37.1922222222222,0.349,Rhamnose
37.2866666666667,0.3485,Rhamnose
37.3808333333333,0.3485,Rhamnose
37.475,0.3485,Rhamnose
37.5691666666667,0.348,Rhamnose
37.6633333333333,0.348,Rhamnose
37.7575,0.348,Rhamnose
37.8516666666667,0.348,Rhamnose
37.9463888888889,0.3475,Rhamnose
38.0405555555556,0.3475,Rhamnose
38.1347222222222,0.347,Rhamnose
38.2288888888889,0.347,Rhamnose
38.3230555555556,0.347,Rhamnose
38.4172222222222,0.347,Rhamnose
38.5116666666667,0.3465,Rhamnose
38.6055555555556,0.347,Rhamnose
38.6997222222222,0.346,Rhamnose
38.7938888888889,0.346,Rhamnose
38.8880555555556,0.346,Rhamnose
38.9822222222222,0.346,Rhamnose
39.0766666666667,0.345,Rhamnose
39.1708333333333,0.3455,Rhamnose
39.265,0.345,Rhamnose
39.3591666666667,0.345,Rhamnose
39.4533333333333,0.345,Rhamnose
39.5475,0.3445,Rhamnose
39.6416666666667,0.3445,Rhamnose
39.7358333333333,0.3445,Rhamnose
39.83,0.3445,Rhamnose
39.9241666666667,0.344,Rhamnose
40.0183333333333,0.344,Rhamnose
40.1125,0.344,Rhamnose
40.2066666666667,0.3435,Rhamnose
40.3008333333333,0.3435,Rhamnose
40.395,0.3435,Rhamnose
40.4891666666667,0.3435,Rhamnose
40.5833333333333,0.3425,Rhamnose
40.6775,0.3425,Rhamnose
40.7716666666667,0.3425,Rhamnose
40.8658333333333,0.343,Rhamnose
40.96,0.342,Rhamnose
41.0541666666667,0.3425,Rhamnose
41.1483333333333,0.342,Rhamnose
41.2425,0.3415,Rhamnose
41.3366666666667,0.3415,Rhamnose
41.4308333333333,0.341,Rhamnose
41.525,0.341,Rhamnose
41.6191666666667,0.341,Rhamnose
41.7133333333333,0.3405,Rhamnose
41.8075,0.341,Rhamnose
41.9016666666667,0.3405,Rhamnose
41.9961111111111,0.3405,Rhamnose
42.09,0.34,Rhamnose
42.1844444444444,0.34,Rhamnose
42.2786111111111,0.3405,Rhamnose
42.3727777777778,0.3395,Rhamnose
42.4669444444444,0.3395,Rhamnose
42.5611111111111,0.339,Rhamnose
42.655,0.339,Rhamnose
42.7494444444444,0.339,Rhamnose
42.8436111111111,0.3385,Rhamnose
42.9377777777778,0.3385,Rhamnose
43.0319444444444,0.3385,Rhamnose
