"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","BHI_val","value.norm","value.norm.mean"
48,2092,"Lysine",2434508288,1,"Bp","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.01481046449063,0.995201711478375
48,6157,"Glycerophosphocholine",1100339072,1,"Bp","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,0.964758218128805,0.964572277258665
48,3078,"Arginine",1337411840,2,"Bp","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.952017576494884,0.991998387258709
48,2092,"Lysine",2382010880,2,"Bp","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,0.952677726268406,0.995201711478375
48,6157,"Glycerophosphocholine",1144682368,2,"Bp","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.959535649413793,0.964572277258665
48,3078,"Arginine",1350297216,0,"Csc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.979610478372017,0.991204837873796
48,2092,"Lysine",2460969984,0,"Csc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.974944465846099,1.0111419005638
48,6157,"Glycerophosphocholine",1173407744,0,"Csc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,0.996198204524619,0.982918299365483
48,3078,"Arginine",1361568896,1,"Csc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.02705143832256,0.991204837873796
48,2092,"Lysine",2535863296,1,"Csc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.05705970358911,1.0111419005638
48,6157,"Glycerophosphocholine",1159970688,1,"Csc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.01704218500797,0.982918299365483
48,3078,"Arginine",1358392832,2,"Csc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.966952596926809,0.991204837873796
48,2092,"Lysine",2503886592,2,"Csc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,1.00142153225619,1.0111419005638
